"realm_record_id","operator_name","address","phone","email","digital_contact_type","website","carrier_type","equipment_and_services","operating_regions","pos_matching_fit","country","verification_status","confidence","source_urls","research_subject"
"RCN-US-0001","Stevens Transport, Inc.","9757 Military Pkwy, Dallas, TX 75227","1-972-216-9000","","website contact form","https://www.stevenstransport.com","refrigerated, road freight, FTL","Refrigerated truckload, dry van, dedicated, team, flatbed, OTR, regional, local, freight brokerage services","Nationwide","","United States","unverified","High","https://www.stevenstransport.com/about/contact-us/","Texas"
"RCN-US-0002","Parkway Transport, Inc.","5711 FM 78, San Antonio, TX 78244","","","website contact form","https://www.parkwaytransport.com","refrigerated, road freight, FTL","Reefer, tanker, regional, dedicated, OTR, owner-operator, hazmat, fresh produce, meat, refrigerated foods","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0003","Arnold Transportation Services, Inc.","3375 High Prairie Rd, Grand Prairie, TX 75050","","","website contact form","https://www.arnoldtransport.com","road freight, flatbed, tanker, refrigerated, FTL","Dry van, flatbed, tanker, reefer, regional, OTR, dedicated, team, owner-operator","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0004","W W Rowland Trucking Company, LLC","10000 Wallisville Rd, Houston, TX 77013","","","website contact form","https://www.wwrowland.com","road freight, flatbed, intermodal, refrigerated, tanker","Flatbed, tanker, reefer, intermodal containers, local, regional, OTR, dedicated, specialized freight","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0005","Royal Freight LP","407 W Sioux Rd, Pharr, TX 78577","","","website contact form","https://www.royalfreight.com","road freight, refrigerated, flatbed, tanker, hopper, bulk","Dry van, reefer, flatbed, tanker, hopper, agricultural supplies, fresh produce, grain, dry bulk commodities","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0006","Interstate Transport, LLC","13846 N Los Ebanos Rd, Mission, TX 78572","","","website contact form","https://www.interstatetransport.com","road freight, refrigerated, flatbed, FTL","Dry van, flatbed, box trucks, reefer, dedicated, team, local, regional, OTR","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0007","THE Foret Companies","118 N Piedras St, El Paso, TX 79905","","","website contact form","https://www.theforetcompanies.com","road freight, flatbed, refrigerated, dry van","Dry van, reefer, flatbed, regional, local, dedicated, team, building materials, construction, refuse","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0008","Sysco USA II, LLC","1390 Enclave Pkwy, Houston, TX 77077","","","website contact form","https://www.sysco.com","refrigerated, road freight, tanker, LTL","Refrigerated food distribution, dry goods, fresh produce, meat, liquids/gases, tanker and reefer operations, regional and OTR","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0009","Hazel's Expedited Freight","2009 Mckenzie Dr #110, Carrollton, TX 75006","","","website contact form","https://www.hazelsfreight.com","expedited, road freight, flatbed, intermodal, LTL","Expedited freight, flatbed, intermodal, LTL, hazmat, heavy haul, regional, local, owner-operator","Lower 48","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0010","A Truck Express, Inc.","4033 Mint Way, Dallas, TX 75237","","","website contact form","https://www.atruckexpress.com","refrigerated, tanker, expedited, road freight","Tanker, reefer, hazmat, owner-operator, regional, local, OTR","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/texas/","Texas"
"RCN-US-0011","Swift Transportation Co. of Arizona LLC","5419 Mesa Dr, Houston, TX 77028","832-214-2777","","website contact form","https://www.swifttrans.com","road freight, refrigerated, flatbed, tanker, FTL","Truckload, reefer, dry van, dedicated, flatbed, tanker, regional, OTR","Nationwide","","United States","unverified","Medium","https://www.swifttrans.com/locations/terminal/houston-tx","Texas"
"RCN-US-0012","Schneider National, Inc.","N/A","","","website contact form","https://www.schneider.com","road freight, refrigerated, intermodal, tanker, flatbed, LTL","Intermodal, dedicated, tanker, flatbed, dry van, reefer, brokerage, logistics","Nationwide","","United States","unverified","Medium","https://www.schneider.com/locations/texas/houston","Texas"
"RCN-US-0013","J.B. Hunt Transport Services, Inc.","N/A","","","website contact form","https://www.jbhunt.com","road freight, intermodal, refrigerated, flatbed, LTL, parcel","Intermodal, dedicated, truckload, brokerage, final mile, refrigerated, flatbed, LTL","Nationwide","","United States","unverified","Medium","https://www.jbhunt.com/locations/texas","Texas"
"RCN-US-0014","Landstar System, Inc.","N/A","","","website contact form","https://www.landstar.com","road freight, flatbed, refrigerated, tanker, hopper, intermodal","Flatbed, specialized, reefer, tanker, hopper, expedited, power-only, cross-border freight","Nationwide","","United States","unverified","Medium","https://www.landstar.com/locations/texas","Texas"
"RCN-US-0015","R+L Carriers","N/A","","","website contact form","https://www.rlcarriers.com","LTL, road freight, parcel","LTL freight, guaranteed service, truckload, expedited, final mile, logistics","Nationwide","","United States","unverified","Medium","https://www.rlcarriers.com/locations/texas","Texas"
"RCN-US-0016","Old Dominion Freight Line, Inc.","N/A","","","website contact form","https://www.odfl.com","LTL, road freight, parcel","LTL, less-than-truckload, expedited, supply chain, truckload, final mile","Nationwide","","United States","unverified","Medium","https://www.odfl.com/locations/texas","Texas"
"RCN-US-0017","XPO, Inc.","N/A","","","website contact form","https://www.xpo.com","LTL, road freight, expedited","LTL, freight brokerage, expedited, last mile, supply chain, truckload","Nationwide","","United States","unverified","Medium","https://www.xpo.com/locations/texas","Texas"
"RCN-US-0018","CFI Truckload, Inc.","N/A","","","website contact form","https://www.cfi.com","road freight, refrigerated, flatbed, FTL","Truckload, dry van, reefer, flatbed, team, regional, OTR, expedited","Nationwide","","United States","unverified","Low","https://www.cfi.com","Texas"
"RCN-US-0019","PAM Transport, Inc.","N/A","","","website contact form","https://www.pamtransport.com","refrigerated, road freight, FTL","Reefer, truckload, dedicated, regional, OTR, expedited, team","Nationwide","","United States","unverified","Low","https://www.pamtransport.com","Texas"
"RCN-US-0020","Koch Trucking","Minneapolis, MN","","","website contact form","https://kochtrucking.com","road freight, flatbed, FTL","Dedicated, over-the-road, flatbed, specialized freight, marine logistics, trailer leasing, warehousing, supply chain management","Nationwide","","United States","unverified","High","https://kochtrucking.com/koch-companies/","Minnesota"
"RCN-US-0021","Dayton Freight Lines, Inc.","Dayton, MN","800.860.5102","","website contact form","https://daytonfreight.com","LTL, road freight","LTL freight, service centers, regional linehaul, pickup and delivery, shipment tracking","Nationwide","","United States","unverified","Medium","https://daytonfreight.com/service-centers/","Minnesota"
"RCN-US-0022","Prime, Inc.","Springfield, MN","417-521-6886","","website contact form","https://www.primeinc.com","refrigerated, road freight, FTL, tanker, flatbed, intermodal","Refrigerated trailers, dry van, tanker, flatbed, intermodal, brokerage, driver recruiting","Nationwide","","United States","unverified","Medium","https://www.primeinc.com/transportation-solutions/refrigerated-division/","Minnesota"
"RCN-US-0023","C.H. Robinson","Minneapolis, MN","","","website contact form","https://www.chrobinson.com","road freight, intermodal, refrigerated, flatbed, expedited, LTL, FTL","Brokerage, managed transportation, multimodal freight, supply chain services, logistics technology","Nationwide","","United States","unverified","Medium","https://www.chrobinson.com/en-us/","Minnesota"
"RCN-US-0024","Dart Transit Company","800 Lone Oak Road, Eagan, MN 55121","","","website contact form","https://www.dart.com","road freight, FTL","Over-the-road truckload, dedicated, dry van, power-only, lease purchase","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/minnesota/coon-rapids/","Minnesota"
"RCN-US-0025","BAY AND BAY TRANSPORTATION","2905 West Service Road Suite 2000, Eagan, MN 55121","","","website contact form","https://bayandbay.com","refrigerated, road freight, FTL","Refrigerated food, fresh produce, meat, dry freight, flatbed, hazmat, tanker, regional and OTR driving","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/minnesota/coon-rapids/","Minnesota"
"RCN-US-0026","Long Haul Trucking, Inc.","6600 Jansen Ave NE, Albertville, MN 55301","","","website contact form","https://longhaultrucking.com","road freight, refrigerated, flatbed, tanker, FTL","Dry van, refrigerated, flatbed, tanker, dedicated, grain feed hay, produce, general freight","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/minnesota/coon-rapids/","Minnesota"
"RCN-US-0027","Lefebvre & Sons, Inc.","10895 171st Avenue, Elk River, MN 55330","","","website contact form","https://lefebvreandsons.com","flatbed, refrigerated, road freight, bulk, FTL","Flatbed, reefer, dry van, heavy haul, agricultural and farm supplies, dry bulk commodities, machinery, metal products","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/minnesota/coon-rapids/","Minnesota"
"RCN-US-0028","Willman Trucking, Inc.","62 N 26th Avenue North, Minneapolis, MN 55411","","","website contact form","https://willmantrucking.com","refrigerated, road freight, dry van, FTL","Reefer, dry van, local, regional, OTR, dedicated, general freight","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/minnesota/coon-rapids/","Minnesota"
"RCN-US-0029","D&E Transport, LLC","4141 150th St NW, Clearwater, MN 55320","","","website contact form","https://de-transport.com","road freight, refrigerated, flatbed, intermodal, hopper, tanker, FTL","Agricultural and farm supplies, dry bulk, fresh produce, grain, hay, intermodal containers, machinery, metal sheets and coils, oilfield equipment, paper products","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/minnesota/coon-rapids/","Minnesota"
"RCN-US-0030","Autumn Transport, Inc.","6550 Courtly Road, Woodbury, MN 55125","","","website contact form","https://autumntransport.com","road freight, refrigerated, flatbed, intermodal, LTL, tanker, hopper","Coal/coke, dry bulk, general freight, grain feed hay, flatbed, reefer, tanker, intermodal, LTL, parcel, dedicated","Nationwide","","United States","unverified","Medium","https://www.freightwaves.com/checkpoint/trucking-companies/minnesota/coon-rapids/","Minnesota"
